日期,AQI指数
2017/1/12,64
,
2017/1/13,66
,
2017/1/14,93
,
2017/1/15,69
,
2017/1/16,69
,
2017/1/17,73
,
2017/1/18,88
,
2017/1/19,100
,
2017/1/20,113
,
2017/1/21,76
,
2017/1/22,92
,
2017/1/23,75
,
2017/1/24,76
,
2017/1/25,72
,
2017/1/26,85
,
2017/1/27,97
,
2017/1/28,222
,
2017/1/29,134
,
2017/1/30,87
,
2017/1/31,63
,
2017/2/1,76
,
2017/2/2,70
,
2017/2/3,110
,
2017/2/4,79
,
2017/2/5,52
,
2017/2/6,62
,
2017/2/7,77
,
2017/2/8,28
,
2017/2/9,85
,
2017/2/10,86
,
2017/2/11,88
,
2017/2/12,149
,
2017/2/13,104
,
2017/2/14,70
,
2017/2/15,90
,
2017/2/16,118
,
2017/2/17,148
,
2017/2/18,107
,
2017/2/19,139
,
2017/2/20,168
,
2017/2/21,72
,
2017/2/22,30
,
2017/2/23,68
,
2017/2/24,61
,
2017/2/25,70
,
2017/2/26,87
,
2017/2/27,79
,
2017/2/28,82
,
2017/3/1,97
,
2017/3/2,72
,
2017/3/3,89
,
2017/3/4,86
,
2017/3/5,64
,
2017/3/6,102
,
2017/3/7,97
,
2017/3/8,104
,
2017/3/9,93
,
2017/3/10,64
,
2017/3/11,45
,
2017/3/12,41
,
2017/3/13,41
,
2017/3/14,45
,
2017/3/15,50
,
2017/3/16,46
,
2017/3/17,49
,
2017/3/18,40
,
2017/3/19,54
,
2017/3/20,25
,
2017/3/21,44
,
2017/3/22,31
,
2017/3/23,40
,
2017/3/24,33
,
2017/3/25,46
,
2017/3/26,83
,
2017/3/27,106
,
2017/3/28,78
,
2017/3/29,43
,
2017/3/30,60
,
2017/3/31,56
,
2017/4/1,73
,
2017/4/2,96
,
2017/4/3,86
,
2017/4/4,77
,
2017/4/5,89
,
2017/4/6,73
,
2017/4/7,51
,
2017/4/8,62
,
2017/4/9,45
,
2017/4/10,35
,
2017/4/11,32
,
2017/4/12,50
,
2017/4/13,82
,
2017/4/14,83
,
2017/4/15,102
,
2017/4/16,80
,
2017/4/17,54
,
2017/4/18,74
,
2017/4/19,92
